Library Name,State,Visits,Total Programs,Circulation
WABASH CARNEGIE PUBLIC LIBRARY,IN,63365,271,110404
HARTFORD CITY PUBLIC LIBRARY,IN,26425,49,39352
MONTPELIER-HARRISON TOWNSHIP PUBLIC LIBRARY,IN,4004,100,6287
MUNCIE-CENTER TOWNSHIP PUBLIC LIBRARY,IN,138323,868,382954
FAYETTE COUNTY PUBLIC LIBRARY,IN,161250,200,104343
FRANKLIN COUNTY PUBLIC LIBRARY DISTRICT,IN,36708,508,67323
SWAYZEE PUBLIC LIBRARY,IN,5575,130,18015
MARION PUBLIC LIBRARY,IN,133819,216,178288
GAS CITY-MILL TOWNSHIP PUBLIC LIBRARY,IN,16589,175,32775
JONESBORO PUBLIC LIBRARY,IN,573,8,1471
FAIRMOUNT PUBLIC LIBRARY,IN,7542,161,5494
VAN BUREN PUBLIC LIBRARY,IN,3502,46,5979
BARTON REES POGUE MEMORIAL PUBLIC LIBRARY,IN,8987,117,46948
MATTHEWS PUBLIC LIBRARY,IN,832,1,1032
MIDDLETOWN FALL CREEK TOWNSHIP PUBLIC LIBRARY,IN,4680,124,34230
NEW CASTLE-HENRY COUNTY PUBLIC LIBRARY,IN,117322,268,198025
SPICELAND TOWN-TOWNSHIP PUBLIC LIBRARY,IN,1700,,1462
KNIGHTSTOWN PUBLIC LIBRARY,IN,4853,45,8393
DUNKIRK PUBLIC LIBRARY,IN,6290,212,5595
PENN TOWNSHIP PUBLIC LIBRARY,IN,1214,9,2502
JAY COUNTY PUBLIC LIBRARY,IN,66072,241,139524
NORTH MADISON COUNTY PUBLIC LIBRARY SYSTEM,IN,82620,424,95433
ALEXANDRIA-MONROE PUBLIC LIBRARY,IN,31802,476,80480
ANDERSON PUBLIC LIBRARY,IN,178728,1526,424996
PENDLETON COMMUNITY PUBLIC LIBRARY,IN,68821,364,174614
FARMLAND PUBLIC LIBRARY,IN,2259,23,5272
WINCHESTER COMMUNITY PUBLIC LIBRARY,IN,24230,90,43070
WASHINGTON TOWNSHIP PUBLIC LIBRARY,IN,3500,50,8188
RIDGEVILLE PUBLIC LIBRARY,IN,502,6,2536
UNION CITY PUBLIC LIBRARY,IN,6051,50,6189
HENRY HENLEY PUBLIC LIBRARY,IN,1912,44,3368
RUSHVILLE PUBLIC LIBRARY,IN,10930,105,23109
UNION COUNTY PUBLIC LIBRARY,IN,79387,767,33467
HAGERSTOWN-JEFFERSON TOWNSHIP PUBLIC LIBRARY,IN,6640,296,37838
DUBLIN PUBLIC LIBRARY,IN,1122,90,664
CAMBRIDGE CITY PUBLIC LIBRARY,IN,11860,98,22862
MORRISSON-REEVES LIBRARY,IN,93054,408,236785
CENTERVILLE-CENTER TOWNSHIP PUBLIC LIBRARY,IN,13121,85,22612
BRAZIL PUBLIC LIBRARY,IN,10424,55,24764
JASONVILLE PUBLIC LIBRARY,IN,2860,17,7822
LINTON PUBLIC LIBRARY,IN,18183,159,28613
WORTHINGTON JEFFERSON TOWNSHIP PUBLIC LIBRARY,IN,5680,32,15489
BLOOMFIELD-EASTERN GREENE COUNTY PUBLIC LIBRARY,IN,25048,99,74550
BEDFORD PUBLIC LIBRARY,IN,66526,903,240929
MITCHELL COMMUNITY PUBLIC LIBRARY,IN,33898,76,46894
MONROE COUNTY PUBLIC LIBRARY,IN,501627,1408,1973339
OWEN COUNTY PUBLIC LIBRARY,IN,41177,481,84485
MONTEZUMA PUBLIC LIBRARY,IN,2650,86,9360
PARKE COUNTY PUBLIC LIBRARY,IN,14112,128,22356
PUTNAM COUNTY PUBLIC LIBRARY,IN,61145,412,140654
ROACHDALE-FRANKLIN TOWNSHIP PUBLIC LIBRARY,IN,4717,86,9400
SULLIVAN COUNTY PUBLIC LIBRARY,IN,26260,348,41821
VERMILLION COUNTY PUBLIC LIBRARY,IN,6594,346,13603
CLINTON PUBLIC LIBRARY,IN,27362,568,52976
VIGO COUNTY PUBLIC LIBRARY,IN,219787,745,425753
THORNTOWN PUBLIC LIBRARY,IN,27924,340,43490
LEBANON PUBLIC LIBRARY,IN,95000,492,194275
SHERIDAN PUBLIC LIBRARY,IN,53000,180,32775
WESTFIELD-WASHINGTON PUBLIC LIBRARY,IN,143023,1134,441169
CARMEL CLAY PUBLIC LIBRARY,IN,279138,965,1632563
HAMILTON NORTH PUBLIC LIBRARY,IN,26511,306,89199
HAMILTON EAST PUBLIC LIBRARY,IN,313639,1390,2254173
FORTVILLE-VERNON TOWNSHIP PUBLIC LIBRARY,IN,25656,103,72050
HANCOCK COUNTY PUBLIC LIBRARY,IN,470425,453,823825
COATESVILLE-CLAY TOWNSHIP PUBLIC LIBRARY,IN,14177,47,10138
BROWNSBURG PUBLIC LIBRARY,IN,158645,467,502073
DANVILLE-CENTER TOWNSHIP PUBLIC LIBRARY,IN,112223,402,98879
CLAYTON-LIBERTY TOWNSHIP PUBLIC LIBRARY,IN,11000,205,21946
AVON-WASHINGTON TOWNSHIP PUBLIC LIBRARY,IN,100767,372,219915
PLAINFIELD-GUILFORD TOWNSHIP PUBLIC LIBRARY,IN,132355,769,332557
GREENWOOD PUBLIC LIBRARY,IN,106710,715,302516
JOHNSON COUNTY PUBLIC LIBRARY,IN,319183,2325,1145971
EDINBURGH WRIGHT-HAGEMAN PUBLIC LIBRARY,IN,15552,65,14831
SPEEDWAY PUBLIC LIBRARY,IN,73125,189,53952
INDIANAPOLIS PUBLIC LIBRARY,IN,2058556,5381,6930303
MORGAN COUNTY PUBLIC LIBRARY,IN,87501,755,252884
MOORESVILLE PUBLIC LIBRARY,IN,45118,268,105349
SHELBY COUNTY PUBLIC LIBRARY,IN,52416,1159,102129
BARTHOLOMEW COUNTY PUBLIC LIBRARY,IN,190229,1452,719218
BROWN COUNTY PUBLIC LIBRARY,IN,40404,301,111042
CHARLESTOWN-CLARK COUNTY PUBLIC LIBRARY,IN,96256,423,276298
JEFFERSONVILLE TOWNSHIP PUBLIC LIBRARY,IN,158573,716,186985
CRAWFORD COUNTY PUBLIC LIBRARY,IN,17334,173,12620
LAWRENCEBURG PUBLIC LIBRARY DISTRICT,IN,105453,911,178301
AURORA PUBLIC LIBRARY DISTRICT,IN,16983,266,69695
NEW ALBANY-FLOYD COUNTY PUBLIC LIBRARY,IN,159925,919,340095
HARRISON COUNTY PUBLIC LIBRARY,IN,87038,733,211147
BROWNSTOWN PUBLIC LIBRARY,IN,14535,251,43598
JACKSON COUNTY PUBLIC LIBRARY,IN,67603,1093,143340
JEFFERSON COUNTY PUBLIC LIBRARY,IN,77466,400,166824
JENNINGS COUNTY PUBLIC LIBRARY,IN,44081,404,105211
OHIO COUNTY PUBLIC LIBRARY,IN,10036,144,21157
MELTON PUBLIC LIBRARY,IN,10036,204,29479
ORLEANS TOWN & TOWNSHIP PUBLIC LIBRARY,IN,4016,82,11570
PAOLI PUBLIC LIBRARY,IN,2800,143,12923
BATESVILLE MEMORIAL PUBLIC LIBRARY,IN,58883,546,104562
OSGOOD PUBLIC LIBRARY,IN,41250,389,40214
"TYSON LIBRARY ASSOCIATION, INC",IN,22600,173,37213
SCOTT COUNTY PUBLIC LIBRARY,IN,21008,50,41200
SWITZERLAND COUNTY PUBLIC LIBRARY,IN,16218,227,32538
SALEM-WASHINGTON TOWNSHIP PUBLIC LIBRARY,IN,19414,97,41288
LINCOLN HERITAGE PUBLIC LIBRARY,IN,40437,500,69272
LOWELL PUBLIC LIBRARY,IN,113435,560,209745
JOYCE PUBLIC LIBRARY,IN,1445,20,1950
HUSSEY-MAYFIELD MEMORIAL PUBLIC LIBRARY,IN,148490,1019,608602
GREENSBURG-DECATUR COUNTY CONTRACTUAL PUBLIC LIBRARY,IN,58574,376,150313
NORTH WEBSTER COMMUNITY PUBLIC LIBRARY,IN,24542,338,81497
ADAMS PUBLIC LIBRARY SYSTEM,IN,200000,561,242922
YORKTOWN PUBLIC LIBRARY,IN,14050,135,112658
RANDALL PUBLIC LIBRARY,KS,600,14,381
SUNSHINE CITY LIBRARY,KS,1546,94,2200
FORMOSO PUBLIC LIBRARY,KS,921,24,2541
LONG ISLAND COMMUNITY LIBRARY,KS,1057,77,1667
RAE HOBSON MEMORIAL LIBRARY,KS,562,106,242
GAYLORD CITY LIBRARY,KS,195,0,664
MCCRACKEN PUBLIC LIBRARY,KS,1680,89,1059
KIRWIN CITY LIBRARY,KS,1744,27,4348
BISON COMMUNITY LIBRARY,KS,613,13,937
BURR OAK COMMUNITY LIBRARY,KS,1320,72,2333
PALCO PUBLIC LIBRARY,KS,754,16,1389
SYLVAN GROVE PUBLIC LIBRARY,KS,5121,96,8503
AGRA/F LEE DOCTOR LIBRARY,KS,1138,50,1561
LEBANON COMMUNITY,KS,1716,23,1698
COURTLAND COMMUNITY LIBRARY,KS,2225,105,1974
JAMESTOWN CITY LIBRARY,KS,1200,70,1094
GYPSUM COMMUNITY LIBRARY,KS,1454,61,2421
OTIS COMMUNITY LIBRARY,KS,1830,104,4052
SCANDIA CITY LIBRARY,KS,3156,50,2114
LUCAS PUBLIC LIBRARY,KS,4148,53,2726
GLEN ELDER LIBRARY,KS,691,58,1628
JEWELL PUBLIC LIBRARY,KS,2097,27,1685
DELPHOS PUBLIC LIBRARY,KS,780,32,615
KENSINGTON COMMUNITY/SCHOOL LIBRARY,KS,5699,167,7348
GLASCO CITY LIBRARY,KS,2079,42,2165
CAWKER CITY PUBLIC LIBRARY,KS,200,82,2391
KANOPOLIS PUBLIC LIBRARY,KS,551,48,1126
LOGAN PUBLIC LIBRARY,KS,2489,52,2997
RANDOLPH-DECKER PUB. LIB.,KS,2280,85,3062
LANG MEMORIAL,KS,1399,12,2501
INDEPENDENT TOWNSHIP,KS,2898,91,5339
MANKATO CITY LIBRARY,KS,2572,30,4480
DOWNS CARNEGIE LIBRARY,KS,5570,39,9677
LINCOLN CARNEGIE LIBRARY,KS,6590,58,19740
BARNARD LIBRARY,KS,10296,67,9037
STOCKTON PUBLIC LIBRARY,KS,14050,86,9571
OSBORNE PUBLIC LIBRARY,KS,10933,91,20812
MINNEAPOLIS PUBLIC,KS,9062,75,12820
SMITH CENTER PUBLIC LIBRARY,KS,2695,22,11030
ELLIS PUBLIC LIBRARY,KS,5440,63,3142
PLAINVILLE MEMORIAL LIBRARY,KS,10567,84,14843
J.H. ROBBINS MEMORIAL LIBRARY,KS,10064,161,17008
ELLINWOOD SCHOOL COMMUNITY LIBRARY,KS,15468,465,19516
BELLEVILLE PUBLIC LIBRARY,KS,13442,143,21512
PHILLIPSBURG CITY LIBRARY,KS,9122,31,19257
HOISINGTON PUBLIC LIBRARY,KS,7058,72,9641
PORT LIBRARY,KS,10003,106,19637
RUSSELL PUBLIC LIBRARY,KS,13760,109,16707
FRANK CARLSON LIBRARY,KS,12500,108,35884
JORDAAN MEMORIAL LIBRARY,KS,7470,216,13196
GREAT BEND PUBLIC LIBRARY,KS,57465,423,79293
HAYS PUBLIC LIBRARY,KS,132662,1432,316035
SALINA PUBLIC LIBRARY,KS,139480,975,424951
BURNS PUBLIC LIBRARY,KS,1686,14,1895
DWIGHT PUBLIC LIBRARY,KS,924,8,1528
ELM CREEK TOWNSHIP LIBRARY,KS,900,0,431
LEONARDVILLE CITY LIBRARY,KS,640,14,741
AXTELL PUBLIC LIBRARY,KS,1175,7,1094
GOESSEL PUBLIC LIBRARY,KS,2746,95,6420
HOPE COMMUNITY LIBRARY,KS,825,34,1341
WHITE CITY PUBLIC LIBRARY,KS,4353,29,2077
FLORENCE PUBLIC LIBRARY,KS,1524,13,985
CLIFTON PUBLIC LIBRARY,KS,1014,27,2484
WATERVILLE PUBLIC LIBRARY,KS,2347,63,2187
HANOVER PUBLIC,KS,5288,63,9223
WAKEFIELD PUBLIC LIBRARY,KS,2635,64,2321
ENTERPRISE PUBLIC LIBRARY,KS,1430,47,1047
SOLOMON PUBLIC LIBRARY,KS,2133,19,1931
FRANKFORT CITY LIBRARY,KS,3652,19,4832
"LIBRARY DISTRICT #1, MIAMI COUNTY",KS,21565,368,71664
BURNLEY MEMORIAL/FALLS TOWNSHIP,KS,3516,69,4268
CHAPMAN PUBLIC LIBRARY,KS,1543,106,4707
BLUE RAPIDS PUBLIC LIBRARY,KS,4602,31,3417
WASHINGTON PUBLIC LIBRARY,KS,4108,18,8552
HARTFORD/ELMENDARO TOWNSHIP,KS,970,83,525
AMERICUS TOWNSHIP LIBRARY,KS,2833,36,5540
PEABODY TOWNSHIP LIBRARY,KS,2112,55,5135
MARION CITY LIBRARY,KS,4434,48,21952
COUNCIL GROVE PUBLIC LIBRARY,KS,7771,58,15934
HILLSBORO PUBLIC LIBRARY,KS,15000,67,35764
HERINGTON PUBLIC LIBRARY,KS,7719,125,15308
WAMEGO PUBLIC LIBRARY,KS,29064,274,47038
MARYSVILLE PUBLIC LIBRARY,KS,16282,274,29024
CLAY CENTER CARNEGIE LIBRARY,KS,30164,107,83764
ABILENE PUBLIC LIBRARY,KS,24571,162,60826
POTTAWATOMIE WABAUNSEE REGIONAL LIBRARY,KS,42738,748,71909
DOROTHY BRAMLAGE PUBLIC LIBRARY,KS,58197,355,99807
EMPORIA PUBLIC LIBRARY,KS,66164,620,153101
MANHATTAN PUBLIC LIBRARY,KS,336587,435,664389
CORNING CITY LIBRARY,KS,908,8,459
WETMORE PUBLIC LIBRARY,KS,1310,27,3897
RICHMOND PUBLIC LIBRARY,KS,4071,219,3805
CENTRALIA COMMUNITY LIBRARY,KS,4123,189,3742
WINCHESTER PUBLIC LIBRARY,KS,3457,195,6246
BARNES READING ROOM,KS,528,17,4118
EFFINGHAM COMMUNITY LIBRARY,KS,2358,71,4002
MERIDEN-OZAWKIE PUBLIC LIBRARY,KS,15419,245,29071
OVERBROOK PUBLIC LIBRARY,KS,8301,60,15716
NORTONVILLE PUBLIC LIBRARY,KS,7020,119,4191
BURLINGAME COMMUNITY LIBRARY,KS,8583,127,7974
WELLSVILLE CITY LIBRARY,KS,12333,225,24516
CARBONDALE CITY LIBRARY,KS,10700,115,9830
LYNDON CARNEGIE LIBRARY,KS,6618,66,10935
ROSSVILLE COMMUNITY LIBRARY,KS,27518,318,21680
HORTON PUBLIC LIBRARY,KS,4113,177,2461
LINWOOD COMMUNITY LIBRARY DISTRICT #1,KS,3051,796,13392
OSKALOOSA PUBLIC LIBRARY,KS,8147,148,10661
SILVER LAKE LIBRARY,KS,11806,156,18346
DELAWARE TOWNSHIP LIBRARY,KS,7208,74,6994
TONGANOXIE PUBLIC LIBRARY,KS,54175,549,52530
MARY COTTON PUBLIC LIBRARY,KS,48626,156,55899
SENECA FREE LIBRARY,KS,14219,69,30390
OSAGE CITY PUBLIC LIBRARY,KS,30510,283,24413
BALDWIN CITY LIBRARY,KS,21348,115,40537
"BASEHOR COMMUNITY LIBRARY, DIST #2, LV. CO.",KS,45724,1299,142619
HIAWATHA/MORRILL PUBLIC LIBRARY,KS,19000,350,42225
EUDORA COMMUNITY LIBRARY,KS,10878,118,32943
PAOLA FREE LIBRARY,KS,19900,94,35412
OSAWATOMIE PUBLIC LIBRARY,KS,16668,408,19452
LINN COUNTY LIBRARY DISTRICT #1,KS,4379,63,2677
BONNER SPRINGS CITY LIBRARY,KS,46618,435,88149
LYON COUNTY LIBRARY DIST. #1,KS,656,67,2312
OTTAWA LIBRARY,KS,110963,811,99106
ATCHISON LIBRARY,KS,53632,235,86897
LEAVENWORTH PUBLIC LIBRARY,KS,57947,330,168484
OLATHE PUBLIC LIBRARY,KS,436956,1223,1435803
LAWRENCE PUBLIC LIBRARY,KS,360764,892,921915
TOPEKA AND SHAWNEE COUNTY PUBLIC LIBRARY,KS,349950,2752,1815458
"KANSAS CITY, KANSAS PUBLIC LIBRARY",KS,279190,2149,652316
JOHNSON COUNTY LIBRARY,KS,1598358,949,5969691
GOVE CITY LIBRARY,KS,3200,10,1281
JENNINGS CITY LIBRARY,KS,945,16,2794
NORCATUR PUBLIC LIBRARY,KS,307,,228
MOORE FAMILY LIBRARY,KS,214,8,95
GRAINFIELD CITY LIBRARY,KS,620,22,1132
LENORA PUBLIC LIBRARY,KS,1884,16,2112
BIRD CITY PUBLIC LIBRARY,KS,1834,8,2721
ALMENA CITY LIBRARY,KS,428,7,775
JAY JOHNSON PUBLIC LIBRARY,KS,9681,113,11748
SHARON SPRINGS PUBLIC LIBRARY,KS,7043,109,6262
ST. FRANCIS PUBLIC LIBRARY,KS,6507,,5466
OAKLEY PUBLIC LIBRARY,KS,9732,161,17123
OBERLIN CITY LIBRARY,KS,13254,442,15250
NORTON PUBLIC LIBRARY,KS,50633,315,33054
SHERIDAN COUNTY PUBLIC LIBRARY,KS,5949,117,9022
ATWOOD PUBLIC LIBRARY,KS,11908,160,11337
GRAHAM COUNTY PUBLIC LIBRARY,KS,14658,73,12627
WAKEENEY PUBLIC LIBRARY,KS,11398,29,7033
GOODLAND PUBLIC LIBRARY,KS,36290,911,28636
COLBY/PIONEER MEMORIAL LIBRARY,KS,59610,743,55768
ZENDA PUBLIC LIBRARY,KS,1368,30,1184
PARTRIDGE PUBLIC LIBRARY,KS,3829,34,7646
WALTON COMMUNITY LIBRARY,KS,2000,8,832
SYLVIA PUBLIC LIBRARY,KS,1126,1,203
HARDTNER PUBLIC LIBRARY,KS,1065,125,2324
GENESEO PUBLIC LIBRARY,KS,424,0,539
VIOLA TOWNSHIP,KS,842,41,3334
NORWICH PUBLIC,KS,3183,25,6386
LITTLE RIVER COMMUNITY LIBRARY,KS,1497,,2595
TURON COMMUNITY LIBRARY,KS,532,10,491
FARMER TOWNSHIP/CPMS LIBRARY,KS,10505,,2866
CUNNINGHAM PUBLIC LIBRARY,KS,2339,41,2475
ARLINGTON CITY LIBRARY,KS,1672,85,1930
MACKSVILLE CITY LIBRARY,KS,1395,34,1426
PRETTY PRAIRIE PUBLIC LIBRARY,KS,7800,56,3541
POTWIN PUBLIC LIBRARY,KS,3057,35,1285
LEON PUBLIC LIBRARY,KS,715,,371
WHITEWATER MEMORIAL LIBRARY,KS,11418,62,24520
SOUTH HAVEN TOWNSHIP LIBRARY,KS,1286,5,1039
ATTICA CITY LIBRARY,KS,1176,26,1840
DIXON TOWNSHIP LIBRARY,KS,1039,235,1110
MARQUETTE COMMUNITY LIBRARY,KS,1806,46,2082
UDALL PUBLIC LIBRARY,KS,2123,77,1561
RUTH DOLE MEMORIAL LIBRARY,KS,1586,118,1202
INMAN PUBLIC LIBRARY,KS,7720,45,20026
MT. HOPE PUBLIC LIBRARY,KS,3473,,3859
OXFORD PUBLIC LIBRARY,KS,4208,40,3426
HAVEN PUBLIC LIBRARY,KS,3250,52,5752
CANTON TOWNSHIP,KS,1851,42,1076
BUHLER PUBLIC LIBRARY,KS,8014,58,13352
NICKERSON PUBLIC LIBRARY,KS,2887,,2191
NORA E. LARABEE MEMORIAL LIBRARY,KS,1394,45,900
CALDWELL PUBLIC LIBRARY,KS,1998,58,3185
KIOWA PUBLIC LIBRARY,KS,4321,44,9112
CONWAY SPRINGS CITY LIBRARY,KS,2426,73,3916
TOWANDA PUBLIC LIBRARY,KS,1400,8,11914
MOUNDRIDGE PUBLIC LIBRARY,KS,13935,231,30907
SEDGWICK/LILLIAN TEAR,KS,4252,76,3571
IDA LONG GOODMAN MEMORIAL LIBRARY,KS,20589,563,18028
CHENEY PUBLIC LIBRARY,KS,14823,43,15793
HARPER PUBLIC LIBRARY,KS,7930,78,11293
CLEARWATER PUBLIC LIBRARY,KS,17124,171,37737
COLWICH COMMUNITY LIBRARY,KS,11987,55,17316
BELLE PLAINE PUBLIC LIBRARY,KS,2980,99,4219
GODDARD PUBLIC LIBRARY,KS,39881,447,52990
HALSTEAD PUBLIC LIBRARY,KS,6832,57,11896
STERLING FREE PUBLIC LIBRARY,KS,14332,241,29407
DOUGLASS PUBLIC LIBRARY,KS,15568,111,14125
ANTHONY PUBLIC LIBRARY,KS,10373,56,11611
LINCOLN LIBRARY,KS,20196,155,22315
HESSTON PUBLIC LIBRARY,KS,34140,246,70009
LINDSBORG COMMUNITY LIBRARY,KS,14040,135,18921
KINGMAN CARNEGIE LIBRARY,KS,20000,225,19134
ANDOVER PUBLIC LIBRARY,KS,78021,164,196376
LYONS PUBLIC LIBRARY,KS,7738,105,8157
KIOWA COUNTY LIBRARY,KS,7325,31,21136
VALLEY CENTER PUBLIC LIBRARY,KS,45074,201,48828
MULVANE PUBLIC LIBRARY,KS,56853,627,46419
AUGUSTA PUBLIC LIBRARY,KS,40604,397,48022
WELLINGTON PUBLIC,KS,18297,270,21636
HAYSVILLE COMMUNITY LIBRARY,KS,47957,279,14726
PRATT PUBLIC LIBRARY,KS,52587,543,44402
BRADFORD MEMORIAL LIBRARY,KS,26298,206,103629
WINFIELD PUBLIC LIBRARY,KS,57677,216,58734
MCPHERSON PUBLIC LIBRARY,KS,53157,395,138562
DERBY PUBLIC LIBRARY,KS,136185,441,352218
ARKANSAS CITY PUBLIC LIBRARY,KS,19641,181,34940
NEWTON PUBLIC LIBRARY,KS,38362,434,145845
HUTCHINSON PUBLIC LIBRARY,KS,202216,666,344489
WICHITA PUBLIC LIBRARY,KS,594187,1078,1639105
SAVONBURG PUBLIC LIBRARY,KS,1960,29,3866
HEPLER CITY LIBRARY,KS,950,388,2117
FALL RIVER PUBLIC LIBRARY,KS,616,17,323
PRESCOTT CITY LIBRARY,KS,2161,221,2167
WALNUT PUBLIC LIBRARY,KS,364,3,429
MOUND VALLEY LIBRARY,KS,3621,182,555
HAMILTON CITY LIBRARY,KS,1956,54,1844
GRENOLA PUBLIC LIBRARY,KS,633,0,909
BRONSON PUBLIC LIBRARY,KS,1368,90,2956
TORONTO PUBLIC LIBRARY,KS,776,84,1833
COLONY CITY LIBRARY,KS,364,30,1086
EDNA PUBLIC LIBRARY,KS,1716,16,2126
MCCUNE OSAGE TOWNSHIP LIBRARY,KS,1087,152,1119
ALTOONA PUBLIC LIBRARY,KS,3240,180,4961
MOLINE PUBLIC LIBRARY,KS,3632,91,2942
THAYER FRIDAY READING CLUB CITY LIBRARY,KS,3746,8,3052
MORAN PUBLIC LIBRARY,KS,1016,25,1315
LINN COUNTY LIBRARY DIST #3,KS,2860,5,1988
MOUND CITY/LINN COUNTY DIST. #4,KS,8220,65,14967
CEDAR VALE MEMORIAL LIBRARY,KS,3251,115,2458
HOWARD CITY LIBRARY,KS,3275,86,8989
WEIR PUBLIC LIBRARY,KS,2477,25,1536
MADISON PUBLIC LIBRARY,KS,4359,105,9114
GRAVES MEMORIAL PUBLIC LIBRARY,KS,2552,41,1296
ALTAMONT PUBLIC LIBRARY,KS,208,0,2728
LINN COUNTY LIBRARY DISTRICT #5,KS,6739,39,7327
SEDAN PUBLIC LIBRARY,KS,3200,31,6584
ERIE CITY PUBLIC LIBRARY,KS,5218,174,5490
"LIBRARY DISTRICT #2 , LINN COUNTY",KS,25120,484,19275
CHETOPA CITY LIBRARY,KS,1600,17,1944
"LIBRARY DISTRICT #1, DONIPHAN COUNTY",KS,20703,233,24120
YATES CENTER PUBLIC LIBRARY,KS,2950,31,8136
OSWEGO PUBLIC,KS,7462,25,9191
HUMBOLDT PUBLIC LIBRARY,KS,10043,31,14478
CANEY CITY LIBRARY,KS,15545,408,13605
CHERRYVALE PUBLIC LIBRARY,KS,18712,399,7398
FREDONIA PUBLIC LIBRARY,KS,11945,32,26077
GIRARD PUBLIC LIBRARY,KS,49101,297,13140
GARNETT PUBLIC LIBRARY,KS,20176,112,44993
EUREKA PUBLIC LIBRARY,KS,6552,39,10783
NEODESHA/W.A. RANKIN MEMORIAL,KS,16931,110,20945
COLUMBUS PUBLIC LIBRARY,KS,3120,12,8724
GALENA PUBLIC LIBRARY,KS,4056,94,3639
JOHNSTON PUBLIC LIBRARY,KS,7470,43,9775
IOLA PUBLIC LIBRARY,KS,25618,246,49367
FORT SCOTT PUBLIC LIBRARY,KS,19225,131,41883
COFFEY COUNTY LIBRARY,KS,110017,3057,151133
CHANUTE PUBLIC LIBRARY,KS,40128,201,79225
INDEPENDENCE PUBLIC LIBRARY,KS,34002,467,56213
PARSONS PUBLIC LIBRARY,KS,34155,311,54880
COFFEYVILLE PUBLIC LIBRARY,KS,13068,123,33283
PITTSBURG PUBLIC LIBRARY,KS,62039,384,151795
HANSTON CITY LIBRARY,KS,1300,10,1290
COPELAND PUBLIC LIBRARY,KS,2157,5,2230
KISMET PUBLIC LIBRARY,KS,1450,60,1724
RANSOM PUBLIC LIBRARY,KS,1200,2,1994
FOWLER PUBLIC LIBRARY,KS,5298,154,1964
SPEARVILLE TOWNSHIP LIBRARY,KS,2894,40,14088
MEADOWLARK LIBRARY/LEWIS,KS,1242,6,951
MINNEOLA CITY LIBRARY,KS,1034,74,2446
BUCKLIN PUBLIC LIBRARY,KS,6591,40,9132
PROTECTION TOWNSHIP LIBRARY,KS,1560,6,2260
JETMORE PUBLIC LIBRARY,KS,18703,50,9734
ASHLAND LIBRARY,KS,8210,106,8122
MONTEZUMA TOWNSHIP LIBRARY,KS,7916,139,21572
PLAINS COMMUNITY LIBRARY,KS,7516,79,5781
DUDLEY TOWNSHIP LIBRARY,KS,13298,114,10498
CIMARRON CITY LIBRARY,KS,95430,462,26125
HAMILTON COUNTY PUBLIC LIBRARY,KS,53676,649,15784
COLDWATER-WILMORE REGIONAL LIBRARY,KS,2280,6,3615
MEADE PUBLIC LIBRARY,KS,10799,36,13047
HASKELL TOWNSHIP LIBRARY,KS,17159,192,9479
GREELEY COUNTY PUBLIC LIBRARY,KS,2286,113,5200
KINSLEY,KS,9119,230,9501
NESS CITY PUBLIC LIBRARY,KS,6966,51,9526
STANTON COUNTY PUBLIC LIBRARY,KS,30090,98,8979
DIGHTON/LANE COUNTY LIBRARY,KS,10901,202,14482
WICHITA COUNTY LIBRARY,KS,6972,87,8121
ELKHART/MORTON COUNTY LIBRARY,KS,30326,854,49038
KEARNY COUNTY LIBRARY,KS,6452,132,22383
STEVENS COUNTY LIBRARY,KS,18328,172,26638
SCOTT COUNTY LIBRARY,KS,18102,263,38701
GRANT COUNTY LIBRARY,KS,26111,322,38029
LIBERAL MEMORIAL LIBRARY,KS,53935,283,49056
DODGE CITY PUBLIC LIBRARY,KS,64725,191,73520
FINNEY COUNTY PUBLIC LIBRARY,KS,65978,407,97521
VERMILLION PUBLIC LIBRARY,KS,1380,10,2467
BERN COMMUNITY LIBRARY,KS,1313,18,4480
SELDEN PUBLIC LIBRARY,KS,583,18,1417
ARMA CITY LIBRARY,KS,1269,38,2394
GARDEN PLAIN COMMUNITY LIBRARY,KS,3108,119,2973
ROSE HILL PUBLIC LIBRARY,KS,4100,104,11719
WILLIAMSBURG COMMUNITY LIBRARY,KS,6376,129,4195
RILEY CITY LIBRARY,KS,4080,116,3847
POMONA COMMUNITY LIBRARY,KS,4000,175,3182
HILLCREST LIBRARY,KS,312,4,480
BECK-BOOKMAN LIBRARY,KS,22098,187,31611
LURAY CITY LIBRARY,KS,486,13,868
PARK CITY PUBLIC LIBRARY,KS,26400,105,63338
ANDALE DISTRICT LIBRARY,KS,2330,78,10230
MCLOUTH PUBLIC LIBRARY,KS,4561,9,4427
LANSING COMMUNITY LIBRARY,KS,27180,138,37642
LONGTON PUBLIC LIBRARY,KS,591,3,655
KINCAID COMMUNITY LIBRARY,KS,1621,63,2814
ADAIR COUNTY PUBLIC LIBRARY,KY,12362,136,51210
ALLEN COUNTY PUBLIC LIBRARY,KY,15007,108,63929
ANDERSON COUNTY PUBLIC LIBRARY,KY,35357,70,87247
MARY WOOD WELDON MEMORIAL PUBLIC LIBRARY,KY,38257,319,97551
BATH COUNTY MEMORIAL LIBRARY,KY,25937,277,31757
BELL COUNTY PUBLIC LIBRARY SYSTEM,KY,14647,244,26212
BOONE COUNTY PUBLIC LIBRARY DISTRICT,KY,381897,2842,987719
